"id","Name","longitud","latitud","parcela_ID"
1,65,-64.1471595246,-22.8498511116,"65"
2,66,-64.1496551618,-22.88532901,"66"
3,67,-64.148585603,-22.9267081736,"67"
4,75,-64.1380326231,-23.2152386298,"75"
5,86,-64.1150727614,-22.7371145868,"86"
6,87,-64.1132901635,-22.7739367605,"87"
7,88,-64.1125771243,-22.8143639538,"88"
8,89,-64.1104380067,-22.8501796532,"89"
9,90,-64.1097249675,-22.88532901,"90"
10,91,-64.1068728108,-22.9257231022,"91"
11,92,-64.1054467324,-22.9598680624,"92"
12,93,-64.1040206541,-22.9930198229,"93"
13,94,-64.1065162912,-23.0294445496,"94"
14,95,-64.1029510953,-23.0691395725,"95"
15,96,-64.100598066,-23.1001875703,"96"
16,97,-64.0999325628,-23.1404955288,"97"
17,98,-64.100598066,-23.17525906,"98"
18,99,-64.0959633113,-23.2122897258,"99"
19,108,-64.0838197859,-22.5521908948,"108"
20,109,-64.0815599198,-22.5897268202,"109"
21,110,-64.0801338415,-22.6265885975,"110"
22,111,-64.0797773219,-22.6621245239,"111"
23,112,-64.0794208023,-22.6992957831,"112"
24,114,-64.0747860476,-22.7729505817,"114"
25,115,-64.0758556064,-22.813706697,"115"
26,116,-64.0733599692,-22.8475512986,"116"
27,117,-64.0715773713,-22.884015179,"117"
28,118,-64.0705078125,-22.9234245744,"118"
29,119,-64.0680121753,-22.9598680624,"119"
30,120,-64.0676556558,-22.991378838,"120"
31,121,-64.0662295774,-23.0297726556,"121"
32,122,-64.0662295774,-23.0668434852,"122"
33,123,-64.0628069893,-23.1014992996,"123"
34,124,-64.0628545253,-23.1376979705,"124"
35,131,-64.0092266173,-22.4359823149,"131"
36,133,-64.047334039,-22.5156443266,"133"
37,134,-64.0228767951,-23.17525906,"134-S"
38,134,-64.0455514411,-22.5515381466,"134-N"
39,135,-64.0188362397,-23.2511663406,"135-S"
40,135,-64.0444818823,-22.5857767585,"135-N"
41,136,-64.0416297256,-22.6259304381,"136"
42,137,-64.0423427648,-22.6594925484,"137"
43,140,-64.0369949709,-22.7719643957,"140"
44,141,-64.0355688925,-22.8127208058,"141"
45,142,-64.0362819317,-22.8459085512,"142"
46,143,-64.0337862946,-22.8810590128,"143"
47,144,-64.0330732554,-22.9217827449,"144"
48,145,-64.0295080595,-22.957898395,"145"
49,146,-64.0302210987,-22.9910506386,"146"
50,147,-64.0287950203,-23.0284602269,"147"
51,148,-64.0248733048,-23.0648753791,"148"
52,149,-64.0243028734,-23.1018272299,"149"
53,155,-63.9671573055,-22.3238957892,"155"
54,156,-63.9678703446,-22.3618175107,"156"
55,157,-63.9682268642,-22.3964326763,"157"
56,158,-63.9675138251,-22.4353232465,"158"
57,159,-64.0102560015,-22.4777645925,"159"
58,160,-64.0077603644,-22.5139975973,"160"
59,161,-64.0056212468,-22.5498918453,"161"
60,162,-64.0052647273,-22.5851184039,"162"
61,163,-64.0027690901,-22.6242850258,"163"
62,164,-64.0020560509,-22.6604795451,"164"
63,165,-63.9995604138,-22.6983090658,"165"
64,166,-63.9999169334,-22.7364569578,"166"
65,167,-63.9956386983,-22.7729505817,"167"
66,168,-63.9977778158,-22.8117349074,"168"
67,169,-63.9970647767,-22.8449228932,"169"
68,170,-63.9476511613,-23.1024830882,"170-S"
69,170,-63.9938561003,-22.8810590128,"170-N"
70,171,-63.9440859654,-23.1736202981,"171-S"
71,171,-63.9931430611,-22.9237529379,"171-N"
72,172,-63.9406396093,-23.2485458012,"172-S"
73,172,-63.9913604632,-22.9582266749,"172-N"
74,173,-63.9910039436,-22.9897378332,"173"
75,174,-63.9874387477,-23.0251790992,"174"
76,175,-63.9852996301,-23.0632352688,"175"
77,181,-63.9304357875,-22.1747471812,"181"
78,182,-63.9258010329,-22.2123792795,"182"
79,183,-63.92829667,-22.2500012876,"183"
80,184,-63.9290097092,-22.285963759,"184"
81,185,-63.9329314247,-22.3229063889,"185"
82,186,-63.9347140226,-22.3644551596,"186"
83,187,-63.9236619153,-22.3947845304,"187"
84,188,-63.9233053957,-22.4363118479,"188"
85,189,-63.9685432093,-22.4780940262,"189"
86,190,-63.9678301702,-22.5133389002,"190"
87,191,-63.9664040918,-22.5498918453,"191"
88,192,-63.9646214938,-22.580839022,"192"
89,193,-63.965334533,-22.622310505,"193"
90,194,-63.9628388959,-22.6571895285,"194"
91,195,-63.9592737,-22.6976512503,"195"
92,196,-63.9592737,-22.7348128714,"196"
93,197,-63.9585606608,-22.7680195807,"197"
94,198,-63.9578476216,-22.8100917277,"198"
95,199,-63.955708504,-22.8442657839,"199"
96,200,-63.9564215432,-22.8797451405,"200"
97,201,-63.9546389453,-22.9194841503,"201"
98,202,-63.9528563473,-22.9552721272,"202"
99,203,-63.9524998277,-22.987112184,"203"
100,204,-63.9507172298,-23.026819673,"204"
101,219,-63.9286130151,-22.4767762867,"219"
102,220,-63.929278438,-22.5136817394,"220"
103,221,-63.9275434563,-22.5482455244,"221"
104,222,-63.9268304171,-22.5821557691,"222"
105,223,-63.9254043388,-22.6209941421,"223"
106,224,-63.9241064152,-22.659979046,"224"
